RID,State,District_Name,Place_Name,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
A2KADAQBR8NG80,ANDHRA PRADESH,KRISHNA,CHINAKOTAVARIPALEM(0608844023061800),9.127389,229.4856937,35729.69271,8.810843045,384.9437789,296.3975472,16.92709218,,3.855602212,0
A2L3IECPFB956F,ANDHRA PRADESH,KRISHNA,KUDAPA(0608844024021900),8.692092013,195.1437388,24656.23968,8.231900338,,398.345418,12.38077079,48.44072487,4.477960248,0
A137DV4YVGWDCR,ANDHRA PRADESH,KRISHNA,SATYANARAYANAPURAM(0608844024031900),8.085759801,127.7396738,32653.91036,6.53423741,,416.2396301,11.11965925,78.27505004,4.068688909,0
A89KN0ADLUNPW,ANDHRA PRADESH,KRISHNA,KATLAPALLE(0608844026022100),6.203977702,212.3066183,21815.07415,7.873991885,,362.1080043,14.93301266,63.87381995,5.215689206,0
A1SH7OWQ98P6FI,ANDHRA PRADESH,KRISHNA,P.RAVIGUNTA(0608745001100300),5.058108869,238.5693804,34873.93452,8.983276144,374.4335045,669.7250862,13.35318143,76.52179975,5.106655774,0
AJM8UGFV16NS8,ANDHRA PRADESH,KRISHNA,RAMAVARAPUMODI(0608745002010400),8.18928,103.4647587,27420.16742,8.417305032,,485.9745005,11.35113273,67.86996368,4.620793452,0
AVD1K8KU6Z86U,ANDHRA PRADESH,KRISHNA,PALLIKONDAVARIMODI(0608745002030400),9.82782,211.200526,12830.48413,4.502117034,326.9615176,333.329848,16.04514848,49.89840564,3.439740042,0
AJ7Q49CTJ1BOC,ANDHRA PRADESH,KRISHNA,AMUDALAPALLE(0608845010011200),7.261550522,179.8897882,24964.7777,5.837086493,349.2692713,501.1827807,17.28771328,50.99300645,3.636364183,0
A2MMFEZ728S1MA,ANDHRA PRADESH,KRISHNA,MADDETIPALLE(0608845007011200),7.160467231,183.08931,6743.346066,3.803036424,277.5990986,428.0363444,9.79962469,90.03537367,3.884891044,0
A1GUR2DMGWUIGL,ANDHRA PRADESH,KRISHNA,JAYAPURAM(0608845007021200),5.704764776,116.2993299,33223.58153,7.05050316,297.0781535,504.378681,9.001820488,48.14703125,4.157533407,0
A2CU16YU1KEOUY,ANDHRA PRADESH,KRISHNA,BARRIPADU(0608845018012000),6.217273135,130.9444639,19460.38282,7.092462955,300.131272,556.65371,14.08360835,57.89707471,5.325833446,0
A6Y49ZNS6NPN0,ANDHRA PRADESH,KRISHNA,SEETHARAMAPURAM(0608646009030900),8.67993497,242.2286673,22984.05095,7.518764659,,352.9425881,18.70440906,69.90790245,3.873470298,0
A3G467T8H2U4F1,ANDHRA PRADESH,KRISHNA,GOKINAMPADU(0608646010011000),9.87638,219.3009142,14859.46642,5.598326766,344.4423937,425.2135748,15.77183437,49.35200148,4.655916599,0
AKG4UJNVSHHAD,ANDHRA PRADESH,KRISHNA,PARVATHIPURAM(0608850012041300),6.897322141,211.3601667,25650.77764,6.766009907,,383.0143102,13.93478804,90.52332986,5.02278363,0
A1J7ZSFU0SO3D4,ANDHRA PRADESH,GUNTUR,GOTTIMUKKALA(0710603001010100),3.514545529,158.7320758,23029.66361,6.821679099,286.5228468,307.379142,9.712231911,79.85092857,3.762615331,0
A3GLQSR6MTHXGL,ANDHRA PRADESH,GUNTUR,LAKSHMIGANGAVARAM(0710603005020500),3.722500486,163.6397469,37962.16799,6.684570274,326.6940179,467.5629729,14.56726886,50.5779791,3.662837732,0
A3KVJ2DVCLO0HB,ANDHRA PRADESH,GUNTUR,GOGULAPADU(0710603006010700),6.455004797,176.6839728,24468.04839,5.756930039,314.7995983,477.5813462,16.24550434,57.72972383,2.293431406,0
A24GM452AKJTT9,ANDHRA PRADESH,GUNTUR,MADUGULA(0710603010011400),7.316804754,217.522862,31903.39981,9.865047503,376.9379723,425.9134002,8.992754272,69.50921982,3.50837265,0
A328TUPI6HYZSF,ANDHRA PRADESH,GUNTUR,RAMAPURAM(0710603010031400),1.844538366,233.7643427,28689.59578,7.7244323,,410.3872638,15.6118593,54.29944409,5.013463351,0
A28D8FT2NNCS2Z,ANDHRA PRADESH,GUNTUR,NADIKUDI(0710604009011300),5.519125656,168.728583,12531.60192,7.730722948,,443.5703721,18.0990781,,3.75899586,0
A2EVOV2OZBQU53,ANDHRA PRADESH,GUNTUR,KESANAPALLI(0710604011011400),7.408985467,204.9617498,9566.12227,6.505923139,311.4526625,504.1459941,11.53214401,81.10693773,3.772420928,0
A1447CDAPZGLYV,KARNATAKA,CHIKMAGALUR,BOMMANAHALLI,5.976769618,258.952732,27267.98186,7.648599331,383.6571521,514.1189201,12.25679025,82.46979843,2.994671096,0
A156LLD3VZJGC2,KARNATAKA,CHIKMAGALUR,GABBAHALLI,6.395359132,133.8342291,23827.27502,5.127746861,266.9084283,573.4002951,9.833874585,95.02660928,4.191217515,0
A1KZ67VEU7CJQ3,KARNATAKA,CHIKMAGALUR,CHATTANAHALLI,6.20964226,195.4177209,13116.70771,7.879347671,,417.241656,7.507662315,70.54738691,3.612519615,0
A26EQ8U96JA92T,KARNATAKA,CHIKMAGALUR,KITHLEGANDI,6.762832522,232.0751766,27159.38435,7.884990658,350.4452927,465.4137746,13.86396488,64.81225738,4.916579161,0
A2CHZ5Q2EF3IR3,KARNATAKA,CHIKMAGALUR,SIGEHALLI ESTATE,9.918717064,199.1812511,21470.27831,6.79984141,329.178429,430.5077069,15.96604294,59.29227327,3.385508444,0
AD5WAUA14YD6N,KARNATAKA,CHIKMAGALUR,HOYSALU,10.15544017,300.2924758,12652.36298,6.655126363,398.6477857,487.459131,9.347633986,67.91978869,5.00246726,0
AHMKE1AJEHHS3,KARNATAKA,CHIKMAGALUR,ANGADI,8.721726711,206.3696824,28608.05208,6.325442404,377.4045382,506.9383527,13.55375101,42.38148394,2.555026904,0
A6VEEE9HOL004,KARNATAKA,BANGLORE URBAN,CHOODENAHALLI,9.8928,197.9797828,17153.30616,7.659203939,329.2803146,575.1146944,11.87098148,69.10983568,4.383921814,0
A3JBI5QDS32UEM,KARNATAKA,BANGLORE URBAN,MYSOORAMANADODDI,8.97839,199.1078856,29721.91163,6.869690215,357.303221,420.7095912,9.226618665,55.29428327,3.355164642,0
AMNCDXFZKL6MZ,KARNATAKA,UTTAR KANNADA,CHIKKUMANE,6.099646705,237.9199268,20416.841,8.457830699,,291.1048366,19.27005426,93.13800948,3.172789769,0
A2B7A8FJBT0HDX,KARNATAKA,UTTAR KANNADA,BASALEBAIL,9.02678772,253.2170742,27965.07215,6.588374366,373.5532353,588.3196505,16.14573205,59.12445085,2.019042018,0
AEIAXBIMAO9T0,KARNATAKA,UTTAR KANNADA,KARAKOLLI,6.953371603,203.1465468,11609.10905,5.495737655,304.2831932,551.1433372,9.387781276,55.95800559,3.651865808,0
A2OB1BFAEPAYBM,KARNATAKA,KOPPAL ,KAMANOOR,6.140877557,197.8760897,26687.87448,7.587196418,329.2318529,548.0727613,15.83633021,41.26364788,5.359460295,0
A3GT3KCGY9EYF4,KARNATAKA,KOPPAL ,SANGAPUR,7.077874007,220.6705396,23873.37821,6.181839616,341.9872341,333.0507859,10.66179894,90.29777033,4.764508265,0
A2LYOWC3FC73XK,KARNATAKA,KOPPAL ,LINGADALLI,5.488314309,135.8023617,21485.1532,8.187415791,280.6032867,441.3311375,14.86026268,88.28734556,5.066786272,0
A7DSY3M6P6RG3,KARNATAKA,KOPPAL ,DADEGAL,7.205559175,120.3276153,24627.86756,6.202469332,289.7686966,418.4332899,13.64314709,63.73373237,3.710053126,0
A1DTDSL1J6C05F,KARNATAKA,KOPPAL ,GUNNALLI,9.177869866,163.2748283,20868.33122,7.726040434,320.4214322,426.9943932,10.2142746,62.43092616,3.108769988,0
A19Y7MSOR2J7XP,KARNATAKA,KOPPAL ,KATRALLI,4.270716195,166.8377085,24405.25053,7.391510138,297.2067392,349.5189104,13.47852645,54.47483954,3.763905903,0
ATBV3QRAVD2PJ,KARNATAKA,KOPPAL ,TANAKANAKAL,7.348844512,223.2649397,11519.04653,8.88955868,,494.1584341,18.14537425,73.71552202,4.880875156,0
A226DRVTNFWM28,KARNATAKA,KOPPAL ,YATNATTI,8.52616987,175.6128363,11837.12336,7.483708838,308.3985155,474.2404823,21.84591625,52.37220111,5.083014142,0
ASIAOU4JW8LUG,KARNATAKA,KOPPAL ,HUCCHESHWAR CAMP,9.87827,169.0419175,36152.8209,8.330388898,329.0397102,590.7487872,17.69511436,103.1504626,3.995973787,0
A2VOVLKP603R1T,KARNATAKA,KOPPAL ,CHUKKANAKAL,2.612035915,188.8041257,34798.25259,6.796439154,,468.0802666,13.17076321,49.52376998,4.76520537,0
A2XADCFYDXH7IV,KARNATAKA,KOPPAL ,HANWAL,8.490571562,204.1236484,22989.79639,8.270792937,358.847115,435.0008983,17.08424565,62.42163706,3.875556805,0
A1KZUXE70GYNGO,KARNATAKA,KOPPAL ,HIRESINDHOGI,8.98872,213.5419323,22539.71161,6.957204179,334.0411862,463.3988471,11.62301916,69.61584964,3.398592587,0
A221AFCU6AE0QO,KARNATAKA,KOPPAL ,BUDIHAL,8.858401531,254.6175187,9624.300462,7.954015627,348.4081949,344.3033625,7.935467758,78.10854982,5.525726338,0
A2BAVWMHL130WY,KARNATAKA,KOPPAL ,HANDRAL,6.098156521,189.995846,27776.90105,6.443097878,347.9304004,245.859632,14.63688226,73.42463246,3.977362364,0
A20B2BU1ZPY9AW,KARNATAKA,KOPPAL ,HATTI,8.419970682,185.7189888,13237.9896,3.998265841,308.1426389,463.6472774,17.20956506,48.78311166,3.962478314,0
A2T68P9I05KBFT,KARNATAKA,KOPPAL ,BELAGATTA,9.286155021,222.6615514,12311.26837,7.289866041,332.2393595,353.7401,14.17176257,,5.23998187,0
A2SLZMD0UYRT5X,KARNATAKA,KOPPAL ,GATTIREDDYHAL,7.875895135,226.2847878,12710.24945,7.303126583,346.4032581,445.3741474,6.063461913,63.12804403,4.238589203,0
A3UM3M6WSUN5BR,KARNATAKA,KOPPAL ,IRKALAGADA,7.725332908,252.2654912,36477.73811,8.386761008,426.5435898,339.4113267,17.48584425,60.48388466,3.724836704,0
A4TLHOUT1PHTL,KARNATAKA,KOPPAL ,YALAMAGERA,3.388090611,212.0289445,20230.12558,8.56978153,349.1559987,353.9129274,18.20833967,82.38787399,2.798600948,0
A3DKCBKDEO2GS3,KARNATAKA,KOPPAL ,KODADAL,6.745306715,218.424637,21871.8387,7.165509192,,373.0501016,16.82661946,74.08607997,3.90235259,0
A1J87LOAYSMHO9,KARNATAKA,KOPPAL ,ODDARATTI,9.78272,190.4238985,28062.64189,9.615147027,357.2267095,263.7719135,13.4452252,67.0555584,5.629015636,0
A1OIMIM4FHT4IG,KARNATAKA,KOPPAL ,HASAGAL,7.183825723,261.8507998,14100.96899,9.008495194,358.7247021,290.4238384,17.14990713,82.0251158,4.597165512,0
A3OXHLG6DIBRW8,KARNATAKA,KOPPAL ,CHIKKASULIKERI,10.1119767,240.4321002,15331.30269,5.392651282,361.9029262,403.0418101,16.13112429,61.11114634,3.425763242,0
A2TJG4N8LNJW23,KARNATAKA,KOPPAL ,VENKATAPUR,7.397413299,122.5410399,8855.114121,6.888688939,241.6075323,489.8516004,13.3659062,,3.14915751,0
A2129VQGGHR150,KARNATAKA,KOPPAL ,ARISINAKERI,7.812804388,196.583886,42550.84182,7.33464764,,442.5457745,14.66691724,,6.204846359,0
A1HQV09XG1Z0YW,KARNATAKA,KOPPAL ,METHAGAL,6.877456933,136.8792139,27433.58729,7.091521514,307.3970883,342.1963466,18.40384583,81.19341217,3.827650072,0
A2ZNLPYMZOXLGX,KARNATAKA,KOPPAL ,INDARAGI TANDA,9.8928,146.9702452,16367.45837,7.687037186,,468.9450148,18.60138073,49.56196889,4.664350321,0
A5IWYNX8RHRKL,KARNATAKA,KOPPAL ,KALTAVARAGERI,8.863876,230.8094825,27418.78104,7.136498392,369.3100078,274.6605966,9.5785846,72.37690878,4.197595209,0
A139RTDNMU3WY5,KARNATAKA,KOPPAL ,BOMMANAL,7.521051679,267.0596474,26865.37374,10.44945031,,505.7093717,16.23774577,57.03778017,2.880785347,0
A212PEJ8E3TS3V,KARNATAKA,KOPPAL ,BASAPUR,8.550875469,231.2487868,28918.41995,7.822528491,369.2642227,432.28527,16.26629669,73.14946432,3.772886607,0
AS89BWXQRDAMV,KARNATAKA,KOPPAL ,MALAGITTI,10.30847766,217.2197464,27653.23518,8.912266341,369.5312064,382.9515048,6.580401551,59.57603991,3.285077052,0
A3OOAICYUJT8EL,KARNATAKA,KOPPAL ,SEBINAKATTI,9.82768,252.670469,29368.67418,9.906146627,433.9522119,465.2166206,13.22103363,84.19860653,5.052736766,0
AMN6JEQ31G052,KARNATAKA,KOPPAL ,KALGONAL,7.371085073,207.7168244,24913.83717,9.616330437,362.30018,363.1685384,11.54266178,67.72070438,4.412589537,0
A35G909LKGM6R1,KARNATAKA,KOPPAL ,YEREGONAL,11.18069466,228.3008604,16600.39275,6.094000531,,504.0505391,15.03504691,110.7392993,3.809841654,0
A1KQXO716WOOD6,KARNATAKA,KOPPAL ,HULASAGERA,6.506487767,202.2859379,17087.0769,6.201982767,326.6623683,481.7719343,16.53518593,46.20574791,3.548775589,0
A3AEEQSKFVN9NB,KARNATAKA,KOPPAL ,BENAKANAL,6.643935775,151.8896001,10909.19459,3.749625148,240.9367221,437.9090052,15.26474235,64.2039637,3.812952926,0
A25C2M3QF9G7OQ,KARNATAKA,KOPPAL ,KUMBALAVATHI,5.03377399,155.3214775,34971.80748,7.121477448,320.115497,500.6373262,18.31249854,63.19330599,3.244948477,0
A1ZZMVHSLQSE7R,GUJARAT,SABAR KANTHA,CHOPADA,6.912607562,155.7404952,17973.17886,4.916302562,275.9082279,439.6480512,18.38071193,55.50746847,2.612248953,0
A37RRNHOYQ7JPH,GUJARAT,SABAR KANTHA,MATHVAS,7.977635991,245.8951304,32170.06916,9.635636083,399.5831549,473.6624528,11.7283382,23.8170199,3.5521295,0
AQDT2YOPW35IU,GUJARAT,SABAR KANTHA,PARSODA,6.078335837,197.5019119,35957.79218,8.130472208,379.5277063,360.0604774,20.09841289,41.86595951,4.201580906,0
A2JH47KQUPWVRO,GUJARAT,SABAR KANTHA,SANTARADA,6.242414484,191.9087295,28149.41179,7.1304368,319.3067851,448.2425267,19.37009087,60.93948098,4.508705098,0
A2609IIYREBZRT,GUJARAT,SABAR KANTHA,KANELA,6.06335479,160.7673113,14775.1456,7.484103647,305.8285533,327.2702387,12.30901596,69.03845387,3.467336915,0
AC8PTTE9SEU9E,GUJARAT,SABAR KANTHA,VASANI,8.129585514,177.8989666,27834.2177,9.006007747,334.4385388,397.0214276,15.93626168,81.3907585,3.362537135,0
A2FZRO46DF0UHN,GUJARAT,SABAR KANTHA,MATHASULIYA,9.562405944,202.0136426,13041.82914,5.820655208,327.118824,433.3816667,14.13906591,63.54899266,3.762719837,0
